model,area,area_name,selected_method,correction_class,n_months,mae_original_clim,mae_corrected_clim,relative_improvement_clim_percent,corr_original_shape,corr_corrected_shape,amp_obs,amp_original,amp_corrected,amp_ratio_original,amp_ratio_corrected,amp_error_original,amp_error_corrected,std_obs,std_original,std_corrected,std_ratio_original,std_ratio_corrected
MIROC6,tna,TNA,linear,Successful correction,12,0.588411070121829,0.1073562661462543,81.75488674541313,0.9958209904902328,0.995820990490233,3.2781283000000023,2.0790604531076795,3.1611532095453114,0.6342218067266244,0.9643165002252381,0.3657781932733756,0.03568349977476193,1.196401222303523,0.7576161361356609,1.1519341233049378,0.6332458727156468,0.9628326198856858
MIROC6,tsa,TSA,xgb,Successful correction,12,0.31904282283180024,0.03497114261678114,89.03873081789465,0.9940286292849063,0.9994689776809464,2.304991300000001,2.20840861970121,2.282816696166993,0.958098462107518,0.9903797451066266,0.041901537892481966,0.00962025489337337,0.8480532385494743,0.7929283099509299,0.849305529678476,0.9349982688671395,1.0014766656998368
MIROC6,nat,NAT,xgb,Successful correction,12,0.37126953480879177,0.11682368403218539,68.5339967114859,0.983931654198198,0.9994124545157028,3.3465244999999975,2.269125423399725,3.3330507278442383,0.6780543287221494,0.9959738014301825,0.32194567127785056,0.004026198569817452,1.1942554120631568,0.7983803513396269,1.2015053323638205,0.6685172562545654,1.006070661457702
MIROC6,sat,SAT,xgb,Successful correction,12,1.21325717604903,0.06994541010945661,94.23490653999397,0.9697519828556248,0.9979870260047371,2.9691837999999997,3.4756996168080185,2.9263370513915987,1.1705909269773125,0.9855695196072399,0.17059092697731248,0.01443048039276007,1.0788616319911848,1.2685674290147109,1.0654041264108516,1.1758388577350725,0.9875261987438597
MIROC6,tasi,TASI,xgb,Successful correction,12,1.223811598531536,0.09727100252664715,92.05179926033028,0.9799284704080224,0.9998692665943203,6.0679206699999995,5.460801299737685,6.141273617744446,0.899946060062398,1.0120886464628824,0.10005393993760203,0.012088646462882435,2.251212768754596,2.0389313478687563,2.2650447723439413,0.9057035284126977,1.0061442453513612
MIROC6,wtio,WTIO,linear,Original already close,12,0.11372708106433649,0.10901390394246076,4.144287427204293,0.994722992078651,0.9947229920786512,2.256849199999998,2.5315803836155197,2.35051294668132,1.1217321846827526,1.0415019960931915,0.1217321846827526,0.041501996093191496,0.7366360798185996,0.8047344039064204,0.7471769994996097,1.0924450022928422,1.0143095348840445
MIROC6,setio,SETIO,linear,Original already close,12,0.09467789060482801,0.12872971227465246,-35.965969934788575,0.9588663343453806,0.9588663343453806,1.5330629999999985,1.324477383065588,1.2446161866287824,0.8639419143672434,0.8118493412395861,0.13605808563275656,0.18815065876041392,0.46605038571048674,0.4453373749370669,0.41848514172023227,0.9555562844522847,0.8979396961173158
MIROC6,swio,SWIO,linear,Original already close,12,0.08801626430934946,0.11688990836450112,-32.80489609700986,0.9936244199792824,0.9936244199792823,2.454813699999999,2.601882683687986,2.5298385763363775,1.0599104460301763,1.030562350347148,0.059910446030176256,0.030562350347147937,0.7794212790174563,0.8273996674753453,0.8044896143665002,1.061556426222249,1.03216275462821
MIROC6,dmi,DMI,linear,Original already close,12,0.1496202067920042,0.12930681650024725,13.576635621146929,0.928540877272194,0.9285408772721941,1.5159111065,1.4664675804638208,1.3747219848394447,0.9673836243931635,0.9068618726684188,0.0326163756068365,0.09313812733158122,0.43850370972291697,0.4433192113432201,0.41558413854771487,1.0109816667761966,0.9477323209199653
EC-EARTH3-Veg,nino12,Niño 1+2,xgb,Successful correction,12,2.414096734453812,0.12834087900797453,94.68368946545087,0.9326609336666167,0.996670961221263,5.4309547000000045,6.200184131817657,5.5209844589233406,1.1416379760666484,1.0165771515132203,0.1416379760666484,0.016577151513220256,2.0656487893244067,2.39077291554137,2.0337887172357236,1.1573956462963382,0.9845762395556589
