model,area,method,rmse,mae,r2,bias,corr,n,selection_reason,complexity_rank
EC-EARTH3-Veg,centro,linear,0.456994168609826,0.3349998759546454,0.8623260382666993,-0.11473466123435908,0.9335398848567948,120,lowest_rmse,
EC-EARTH3-Veg,centroleste,linear,0.5010883536033482,0.3661866379514097,0.8838055599403827,-0.06037845058558666,0.9410072594225446,120,lowest_rmse,
EC-EARTH3-Veg,dmi,xgb,0.4503718582392152,0.354948054438116,0.3791430651629748,0.02635403314522465,0.6431878233414621,120,lowest_rmse,
EC-EARTH3-Veg,nat,linear,0.4727310192941715,0.3402377830283271,0.8507576164723046,-0.0829037267859253,0.9249293800187632,120,rmse_tie_then_lowest_mae,
EC-EARTH3-Veg,nino12,xgb,0.9838385157875765,0.8215878891988118,0.7863239681945686,0.13904390576782216,0.8899671693441408,120,lowest_rmse,
EC-EARTH3-Veg,nino3,xgb,0.734391877428413,0.608156294570923,0.586898180506016,0.018994762885538828,0.7662735307138488,120,lowest_rmse,
EC-EARTH3-Veg,nino34,xgb,0.853999843326356,0.6574013611724856,0.029891906724424877,0.06736473696390784,0.383951485300122,120,rmse_tie_then_lowest_mae,
EC-EARTH3-Veg,nino4,linear,0.7317626911173091,0.572222585294564,-0.08434796370555264,0.15686596257468874,0.06408088412498751,120,lowest_rmse,
EC-EARTH3-Veg,norte,linear,0.31223890353833433,0.25933565825504273,0.96419735072259,0.0882505991069778,0.983928506378484,120,lowest_rmse,
EC-EARTH3-Veg,norteleste,xgb,0.43079121717019275,0.33068530995585116,0.9284877667891093,-0.12371046654968249,0.9675146387289155,120,rmse_tie_then_lowest_mae,
EC-EARTH3-Veg,sat,linear,0.4158973590585903,0.31270131246972177,0.8533949266224612,-0.06466701684374959,0.9257845104697642,120,rmse_tie_then_lowest_mae,
EC-EARTH3-Veg,setio,linear,0.425770511283054,0.35274689062896214,0.42215842440593077,-0.2122282535712723,0.752461593186261,120,lowest_rmse,
EC-EARTH3-Veg,swio,xgb,0.4415608060157756,0.3595116489685059,0.6998946091388231,-0.21193988757324217,0.8848394073720302,120,lowest_rmse,
