model,area,method,rmse,mae,r2,bias,corr,n
MIROC6,norte,linear,0.4107962109555148,0.33799248677667604,0.9380282163415946,0.015060700620658304,0.9685663691977533,120
MIROC6,norte,qm,0.5368006718375872,0.42356674056875243,0.894180126216248,0.1299457476692705,0.9578470262871326,120
MIROC6,norte,xgb,0.32328212819881075,0.2599616165059407,0.9616200388596478,-0.08239543754272466,0.9820626809693838,120
MIROC6,norteleste,linear,0.5189154911754419,0.4225901967561578,0.8962376183814931,0.07155926878334036,0.9484222062367751,120
MIROC6,norteleste,qm,0.6028220772228668,0.4973845782419905,0.8599687524676202,0.19490293896459487,0.9439307413974768,120
MIROC6,norteleste,xgb,0.4638086777706898,0.37157343675638843,0.9171057513401859,-0.034830817705281444,0.9606426006102992,120
MIROC6,centro,linear,0.526505111562479,0.414053931725954,0.817259134725143,-0.16131225843422684,0.9134642035638983,120
MIROC6,centro,qm,0.5421012113861634,0.4372602094803602,0.8062725112993057,-0.04946391573786198,0.9034231719107737,120
MIROC6,centro,xgb,0.5539211245419389,0.4089740085276288,0.7977323871601999,-0.2788749621083578,0.9235428984705201,120
MIROC6,centroleste,linear,0.6075458449691202,0.4674133490000134,0.8291893915385975,-0.11103476900351096,0.9138176161064518,120
MIROC6,centroleste,qm,0.6366041966855274,0.5025068574118184,0.812459217294889,0.02769458089633862,0.9037469421105087,120
MIROC6,centroleste,xgb,0.5773420369454276,0.4559179956359865,0.8457507397568294,-0.2732342348144531,0.9388703291530663,120
MIROC6,cbm,linear,0.953808196219018,0.7711077211574167,0.898053930955088,-0.2074446415188939,0.9505477616894226,120
MIROC6,cbm,qm,0.9961173215866944,0.8295757169448057,0.888809068491886,0.1515377985786241,0.9456356507439586,120
MIROC6,cbm,xgb,0.6644404811542174,0.5365916129684448,0.9505278764645702,-0.20092103718821208,0.9772874444412822,120
MIROC6,tna,linear,0.47260617613672284,0.3611210091554677,0.8453519566528762,-0.060704773609768115,0.920835126309789,120
MIROC6,tna,qm,3.1611663405044212,1.039183812980381,-5.918952386317851,0.6606472270555532,0.5585075303900536,120
MIROC6,tna,xgb,0.5164543523198982,0.38730208476359046,0.8153243963128033,-0.234344486545817,0.9281425692232544,120
MIROC6,tsa,linear,0.26518417055083315,0.21569679827885332,0.8994415752000668,0.05273067506140228,0.9517027311905805,120
MIROC6,tsa,qm,0.3057876231951601,0.24286786953440045,0.8662902504476713,0.08306417514991216,0.9456199500748502,120
MIROC6,tsa,xgb,0.2503372201650799,0.19714494787495912,0.9103863597378095,-0.05792146145324706,0.9570876476372634,120
MIROC6,nat,linear,0.5681312568366512,0.4307135015078128,0.7844433911771653,-0.07726971759882592,0.8880383523940847,120
MIROC6,nat,qm,0.7475832045819202,0.5244422026491835,0.6267644117750053,0.07165378095404971,0.834800431755617,120
MIROC6,nat,xgb,0.5293086928948446,0.4102711868418375,0.8128964495701325,-0.245902676240031,0.9240829885882009,120
