model,area,method,rmse,mae,r2,bias,corr,n
EC-EARTH3-Veg,swio,raw_historical,0.8589465276842361,0.7635918330880377,-0.13559904527709454,0.7214518965210321,0.8163175864365192,120
EC-EARTH3-Veg,dmi,raw_historical,1.195252011210335,0.9571324461148994,-3.372884551306054,0.8266054128517756,0.17986726571367942,120
CMCC-ESM2,nino12,raw_historical,1.956252728135014,1.6336624860448479,0.1551918599412857,1.2791973207244254,0.750685294344467,120
CMCC-ESM2,nino3,raw_historical,1.7085400385486778,1.3910028308441815,-1.2358965176226522,0.3759114700190597,0.30157019555254777,120
CMCC-ESM2,nino34,raw_historical,1.9115060951173815,1.5324401806427685,-3.8602199086866005,0.5808965834737883,-0.07627554868496021,120
CMCC-ESM2,nino4,raw_historical,1.8043519273396893,1.4736045393887465,-5.592811177684095,0.8234765876301107,-0.3357477280172912,120
CMCC-ESM2,norte,raw_historical,1.0240774812622027,0.7977293972167554,0.6148705134818012,-0.6723881154728514,0.9051486593459788,120
CMCC-ESM2,norteleste,raw_historical,1.5424697190564127,1.2795819641936343,0.08318870831339076,-1.224254935603951,0.8313236301241219,120
CMCC-ESM2,centro,raw_historical,1.259779442734082,1.101320872617453,-0.04621159173114542,-1.0887075239624984,0.8575422968802562,120
CMCC-ESM2,centroleste,raw_historical,1.4841955691521873,1.319701965147858,-0.019386765878427026,-1.2725219029683954,0.8600489904458959,120
CMCC-ESM2,cbm,raw_historical,0.9631866320632279,0.795943410922814,0.8960392803558475,0.5358293236987691,0.9642396048224988,120
CMCC-ESM2,tna,raw_historical,1.0380242188021123,0.8864830522012906,0.2539625709012555,-0.833102722022854,0.8594596082670685,120
CMCC-ESM2,tsa,raw_historical,0.8266026035368348,0.6997057033517856,0.022949960928138724,0.6517731716770457,0.8811406691084264,120
CMCC-ESM2,nat,raw_historical,1.1015361111559547,0.9526176232176254,0.18967086581102754,-0.8833677333979141,0.8434093475428595,120
CMCC-ESM2,sat,raw_historical,0.9715983082036012,0.8183111627668863,0.19988912326660857,0.7717820373280572,0.910022482048033,120
CMCC-ESM2,tasi,raw_historical,1.7567398858768057,1.6551497448259715,0.35546904607179075,-1.6551497448259715,0.9669254197886714,120
