time,nino12,nino3,nino34,nino4,norte,norteleste,centro,centroleste,cbm,tna,tsa,nat,sat,tasi,wtio,setio,swio,dmi
1858-03-01,0.0,25.842339,27.00156,26.906134,27.825974,21.047895,19.958004,23.942326,22.755768,19.540611,23.516895,27.617645,23.637148,26.895456,-3.2583084,28.302023,28.528719,28.558756,-0.22669601
1858-04-01,0.0,24.739935,27.243816,27.308212,28.05329,21.993225,21.009087,24.640833,23.7045,17.49438,24.341778,27.517054,24.467558,26.622194,-2.1546364,28.510036,28.684277,28.54597,-0.17424011
1858-05-01,0.0,23.719452,26.963755,27.41011,28.438826,22.722504,21.697578,25.014582,24.170218,15.044775,24.90773,27.05115,24.924597,26.187824,-1.2632275,28.081656,28.667608,27.850529,-0.58595276
1858-06-01,0.0,22.48585,26.260021,27.091557,28.426289,24.109488,23.02739,25.382198,24.745525,13.056637,25.422407,26.49715,25.455559,25.621254,-0.16569519,26.895515,28.617947,26.50039,-1.7224312
1858-07-01,0.0,21.505796,25.495306,26.682669,28.461933,24.896898,23.562757,26.016703,25.478197,11.814865,25.91301,25.950449,25.981962,25.118109,0.86385345,26.743425,28.41202,26.53594,-1.6685944
1858-08-01,0.0,20.410473,24.536718,26.151894,28.47351,25.604187,24.36722,26.664185,26.084759,11.45122,26.407515,25.514372,26.350187,24.690184,1.6600037,26.612492,28.351807,26.392231,-1.739315
1858-09-01,0.0,20.194792,24.259268,26.128296,28.335218,25.900856,24.880869,26.986214,26.610962,12.052531,26.808496,25.502003,26.847889,24.444292,2.4035969,27.304111,28.349804,27.047855,-1.0456924
1858-10-01,0.0,20.60396,24.471926,26.283348,28.085129,25.729513,24.838272,27.252707,26.999962,13.086553,27.049034,25.67304,27.24453,24.597738,2.6467915,27.431765,28.414518,27.164799,-0.98275375
1858-11-01,0.0,21.634722,25.165167,26.516388,27.897774,24.642872,24.06845,26.962204,26.708426,14.366928,26.776255,26.416378,27.0772,25.653788,1.4234123,28.692776,28.55377,28.437338,0.13900566
1858-12-01,0.0,22.061893,24.751135,26.35245,28.172173,23.36529,22.652613,25.804283,25.277527,16.31898,25.596336,26.818304,25.812859,25.69132,0.12153816,28.757856,28.593168,28.88686,0.16468811
1859-01-01,0.0,23.426119,25.144405,26.578781,28.234873,21.792332,20.852434,24.647484,23.83443,18.129593,24.322716,27.2724,24.524828,26.168371,-1.6435432,28.205643,28.64614,28.564322,-0.44049644
1859-02-01,0.0,24.368757,25.941778,26.373846,28.142044,20.975477,20.007711,23.722618,22.679075,18.397575,23.419983,27.529938,23.4208,27.052319,-3.6315193,27.839212,28.625355,28.373062,-0.78614235
1859-03-01,0.0,26.25735,26.529255,26.856142,28.430332,21.467152,20.572948,24.088356,23.17991,17.849865,23.86551,27.699965,23.980694,27.484257,-3.503563,28.592188,29.080889,28.839163,-0.48870087
1859-04-01,0.0,24.36591,26.432766,26.816631,28.547472,21.963926,21.213127,24.611925,23.801533,16.389006,24.476908,27.608763,24.65614,27.78392,-3.127781,29.238068,29.538721,29.141424,-0.30065346
1859-05-01,0.0,22.997229,26.409687,27.104467,28.877178,22.561617,21.623598,24.990368,24.184107,14.931661,24.84195,27.294956,24.984648,27.410847,-2.426199,28.750443,29.58071,28.548935,-0.83026695
1859-06-01,0.0,21.269518,25.96901,27.158716,28.75126,23.41098,22.202108,25.430803,24.686674,12.657296,25.339258,26.44922,25.438347,26.328669,-0.89032173,27.509151,28.768839,27.31119,-1.2596874
1859-07-01,0.0,20.778112,25.384901,27.173012,28.779627,24.283325,23.03575,26.079119,25.505997,12.292559,25.937426,25.849974,26.025671,24.993956,1.0317154,26.674627,28.57426,26.454609,-1.8996334
1859-08-01,0.0,19.793041,24.706306,26.865845,28.65493,25.306902,24.21359,26.867071,26.267502,12.255613,26.552973,25.432049,26.561043,24.478138,2.0829048,26.4164,28.264423,26.181051,-1.8480225
1859-09-01,0.0,19.537786,24.084452,26.234175,28.391394,25.933908,24.97622,27.391205,26.814436,12.451189,27.084936,25.532532,27.022253,24.488562,2.5336914,26.84494,28.081846,26.631865,-1.236906
1859-10-01,0.0,20.542444,24.071514,26.23885,28.396975,25.690834,24.80348,27.330397,27.038069,13.238406,27.115225,25.751038,27.25173,24.463146,2.7885838,27.251617,28.31788,27.002728,-1.0662632
1859-11-01,0.0,22.067646,24.492844,26.387407,28.516462,24.605753,23.947641,26.659994,26.369894,15.137771,26.4821,26.456501,26.700163,25.126558,1.5736046,28.249836,28.56,28.223246,-0.3101635
1859-12-01,0.0,23.226532,24.715712,26.119722,28.160355,23.276688,22.538801,25.710938,25.343103,16.811726,25.486479,27.058998,25.783932,25.52607,0.2578621,28.688908,28.120485,29.278717,0.5684223
1860-01-01,0.0,23.472723,24.767778,25.811434,27.78292,22.159468,21.204414,24.69078,24.008783,18.370497,24.4026,27.371775,24.569756,25.96765,-1.3978939,28.996492,28.3578,29.767406,0.63869286
1860-02-01,0.0,25.7646,25.568867,25.607603,27.467213,21.365458,20.18243,23.986893,23.143166,18.749928,23.607565,27.622583,23.791441,26.690231,-2.8987904,28.882904,28.01199,29.559706,0.87091446
1860-03-01,0.0,26.159878,26.534294,26.190668,27.66857,21.636244,20.578497,24.062023,23.285074,18.181627,23.817099,27.85891,24.029034,27.238707,-3.209673,28.928905,29.38795,29.27868,-0.4590454
1860-04-01,0.0,22.203196,26.010197,26.516779,27.82275,21.868301,20.751472,24.30349,23.16552,16.71408,24.013416,27.50886,23.962772,27.565792,-3.6030197,29.594378,29.44541,29.550093,0.14896774
1860-05-01,0.0,20.710606,25.669462,26.876705,28.147741,22.921766,22.007044,24.872398,23.898325,15.246288,24.747427,26.888916,24.71734,26.788998,-2.0716572,29.00268,29.222183,28.548437,-0.2195034
1860-06-01,0.0,20.990713,25.50709,27.22393,28.421507,24.281984,23.389887,25.490145,24.825466,13.129823,25.520565,26.200718,25.449228,25.878529,-0.4293003,27.877853,28.997656,27.399529,-1.1198025
1860-07-01,0.0,21.336254,24.960777,26.79656,28.311638,25.249012,24.170364,26.333248,25.784472,11.8216505,26.244951,25.555758,26.2192,25.193457,1.0257435,26.989197,28.609741,26.677628,-1.6205444
1860-08-01,0.0,20.097567,24.049168,26.373945,28.14822,25.697424,24.525219,26.791346,26.192043,11.640204,26.530344,25.259708,26.450373,24.731424,1.7189484,27.154043,28.175137,27.063744,-1.0210934
1860-09-01,0.0,20.184137,23.779335,25.722836,27.939245,25.67376,24.500862,27.303213,26.671482,11.088595,26.879786,25.251005,26.862501,24.839912,2.0225887,27.377327,28.186262,27.213665,-0.80893517
1860-10-01,0.0,19.911673,23.404222,24.94807,27.591795,25.607534,24.51697,27.311428,26.811935,12.396525,26.97681,25.417953,27.061089,24.86716,2.1939278,27.544453,28.048613,27.317959,-0.5041599
1860-11-01,0.0,19.383669,23.36807,25.12507,27.503416,24.90665,23.743973,26.873825,26.171799,14.881807,26.550238,25.68041,26.550812,25.277527,1.2732849,27.489178,27.948254,27.303568,-0.45907593
1860-12-01,0.0,21.32199,23.60998,24.599335,27.082363,23.560343,22.569448,25.909071,25.052635,16.80817,25.610405,25.984497,25.592838,25.795198,-0.20236015,27.697786,28.0059,27.704536,-0.3081131
1861-01-01,0.0,23.699087,24.233007,24.67932,26.413103,21.761496,20.836351,24.777435,23.906506,17.453526,24.420095,26.317722,24.626629,25.503103,-0.8764744,27.848196,28.4657,28.209345,-0.6175041
1861-02-01,0.0,25.661512,25.233494,24.879658,26.393747,20.861958,19.896868,23.912453,22.904655,19.455948,23.61408,26.638304,23.732094,25.974434,-2.24234,28.326012,28.336622,28.717325,-0.01061058
1861-03-01,0.0,25.383142,26.02732,25.777967,27.07857,21.040178,20.207802,24.144733,23.291582,20.1207,23.927788,26.942091,24.145384,26.408815,-2.2634315,28.974272,27.978268,29.451548,0.9960041
1861-04-01,0.0,24.82196,26.278778,26.337156,27.49676,21.716639,20.867628,24.619864,23.836939,17.562752,24.421448,27.261293,24.710436,26.71065,-2.0002136,29.35523,28.379578,29.45972,0.9756527
1861-05-01,0.0,23.391993,25.975029,26.56567,27.901886,22.317087,21.453459,24.747654,24.013815,15.660996,24.60185,26.820953,24.784187,25.965893,-1.1817055,29.004822,28.452328,28.701954,0.55249405
1861-06-01,0.0,22.569754,25.407953,26.423798,28.049242,23.319708,22.387287,24.401434,23.961422,13.347704,24.452599,26.069622,24.725521,25.423002,-0.69748116,27.698132,28.565323,27.245428,-0.8671913
1861-07-01,0.0,21.200754,24.817116,26.105118,28.240685,24.459248,23.372246,25.884256,24.93295,12.296748,25.574001,25.522516,25.512568,24.650059,0.8625088,26.800913,28.519426,26.485744,-1.7185135
1861-08-01,0.0,22.1754,24.374577,25.82231,28.04984,25.403357,24.404457,26.757856,26.307457,11.713855,26.442167,25.319384,26.470728,24.0072,2.4635277,27.021227,28.38775,26.879578,-1.3665237
1861-09-01,0.0,22.61858,24.346907,25.730864,27.830748,26.032701,25.345997,27.412216,27.050802,12.572307,27.135096,25.522564,27.139704,24.334726,2.8049774,27.497475,27.808447,27.474579,-0.3109722
1861-10-01,0.0,21.68801,24.258718,25.717081,27.905024,26.07275,25.12227,27.047432,26.970072,13.052404,27.029163,25.64601,27.17934,24.962976,2.216364,27.472294,28.042517,27.215176,-0.57022285
